Year,Province name,District Number,Election,registered_voters,valid_votes,invalid_votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes,Elected to the presidency,Percentage of valid votes,District number,Number of valid votes for each candidate pair,V12,Validation,V14,V15
2014,Sulawesi Selatan,,President & Vice President,6323711,4251883,22732,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.71,,,,,,
2014,Sulawesi Tengah,,President & Vice President,1935646,1399160,8599,"",,,,,,,,,,
2014,Sulawesi Tengah,,President & Vice President,1935646,1399160,8599,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.45,,,,,,
2014,Sulawesi Tengah,,President & Vice President,1935646,1399160,8599,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.55,,,,,,
2014,Sulawesi Tenggara,,President & Vice President,1798732,1133351,6327,"",,,,,,,,,,
2014,Sulawesi Tenggara,,President & Vice President,1798732,1133351,6327,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.45,,,,,,
2014,Sulawesi Tenggara,,President & Vice President,1798732,1133351,6327,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.55,,,,,,
2014,Sulawesi Utara,,President & Vice President,1887975,1344648,5220,"",,,,,,,,,,
2014,Sulawesi Utara,,President & Vice President,1887975,1344648,5220,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.46,,,,,,
2014,Sulawesi Utara,,President & Vice President,1887975,1344648,5220,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.54,,,,,,
2014,Sumatera Barat,,President & Vice President,3611551,2336813,17514,"",,,,,,,,,,
2014,Sumatera Barat,,President & Vice President,3611551,2336813,17514,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.77,,,,,,
2014,Sumatera Barat,,President & Vice President,3611551,2336813,17514,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.23,,,,,,
2014,Sumatera Selatan,,President & Vice President,5865025,4159212,31419,"",,,,,,,,,,
2014,Sumatera Selatan,,President & Vice President,5865025,4159212,31419,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.51,,,,,,
2014,Sumatera Selatan,,President & Vice President,5865025,4159212,31419,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.49,,,,,,
2014,Sumatera Utara,,President & Vice President,9902948,6326349,29676,"",,,,,,,,,,
2014,Sumatera Utara,,President & Vice President,9902948,6326349,29676,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa,1,,0,0.45,,,,,,
2014,Sumatera Utara,,President & Vice President,9902948,6326349,29676,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,2,,1,0.55,,,,,,
2024,Aceh,,President & Vice President,3742037,3221235,64037,"",,,,,1,,,,,
2024,Aceh,,President & Vice President,3742037,3221235,64037,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,2369534,,0,,
2024,Aceh,,President & Vice President,3742037,3221235,64037,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,787024,,,,
2024,Aceh,,President & Vice President,3742037,3221235,64037,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,64677,,,,
2024,Bali,,President & Vice President,3269516,2681007,59685,"",,,,,1,,,,,
2024,Bali,,President & Vice President,3269516,2681007,59685,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,99233,,0,,
2024,Bali,,President & Vice President,3269516,2681007,59685,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1454640,,,,
2024,Bali,,President & Vice President,3269516,2681007,59685,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,1127134,,,,
2024,Banten,,President & Vice President,8842646,7206710,215797,"",,,,,1,,,,,
2024,Banten,,President & Vice President,8842646,7206710,215797,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,2451383,,0,,
2024,Banten,,President & Vice President,8842646,7206710,215797,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,4035052,,,,
2024,Banten,,President & Vice President,8842646,7206710,215797,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,720275,,,,
2024,Bengkulu,,President & Vice President,1494828,1268750,27563,"",,,,,1,,,,,
2024,Bengkulu,,President & Vice President,1494828,1268750,27563,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,229681,,0,,
2024,Bengkulu,,President & Vice President,1494828,1268750,27563,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,893499,,,,
2024,Bengkulu,,President & Vice President,1494828,1268750,27563,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,145570,,,,
2024,D.I.Yogyakarta,,President & Vice President,2870974,2506765,60629,"",,,,,1,,,,,
2024,D.I.Yogyakarta,,President & Vice President,2870974,2506765,60629,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,496280,,0,,
2024,D.I.Yogyakarta,,President & Vice President,2870974,2506765,60629,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,1269265,,,,
2024,D.I.Yogyakarta,,President & Vice President,2870974,2506765,60629,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,741220,,,,
2024,DKI Jakarta,,President & Vice President,8252897,6460911,2692011,"",,,,,1,,,,,
2024,DKI Jakarta,,President & Vice President,8252897,6460911,2692011,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,2653762,,0,,
2024,DKI Jakarta,,President & Vice President,8252897,6460911,2692011,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,2692011,,,,
2024,DKI Jakarta,,President & Vice President,8252897,6460911,2692011,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,1115138,,,,
2024,Gorontalo,,President & Vice President,881206,773524,10527,"",,,,,1,,,,,
2024,Gorontalo,,President & Vice President,881206,773524,10527,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,227354,,0,,
2024,Gorontalo,,President & Vice President,881206,773524,10527,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,,1,,1,504662,,,,
2024,Gorontalo,,President & Vice President,881206,773524,10527,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,,0,,1,41508,,,,
2024,Jambi,,President & Vice President,2676107,2205808,54425,"",,,,,1,,,,,
2024,Jambi,,President & Vice President,2676107,2205808,54425,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,,0,,1,532605,,0,,
