Year,Province name,District number,Election,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,"""Province name""",Total Valid votes in district,Invalid votes
2014,Banten,3,DPR,4243709,2583914,415,"",,,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Nasional Demokrat,1,140425,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Kebangkitan Bangsa,2,194094,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Keadilan Sejahtera,3,215323,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Demokrasi Indonesia Perjuangan,4,522977,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Golongan Karya,5,309083,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Gerakan Indonesia Raya,6,330883,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Demokrat,7,288584,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Amanat Nasional,8,180089,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Persatuan Pembangunan,9,167518,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Hati Nurani Rakyat,10,165214,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Bulan Bintang,14,39231,Province name,,
2014,Banten,3,DPR,4243709,2583914,415,Partai Keadilan dan Persatuan Indonesia,15,30493,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,"",,,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Nasional Demokrat,1,130759,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Kebangkitan Bangsa,2,81522,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Keadilan Sejahtera,3,75826,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Demokrasi Indonesia Perjuangan,4,119296,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Golongan Karya,5,92612,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Gerakan Indonesia Raya,6,108507,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Demokrat,7,74443,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Amanat Nasional,8,92680,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Persatuan Pembangunan,9,61856,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Hati Nurani Rakyat,10,49668,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Bulan Bintang,14,17663,Province name,,
2014,Bengkulu,1,DPR,1358511,924,183,Partai Keadilan dan Persatuan Indonesia,15,18923,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,"",,,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Nasional Demokrat,1,107433,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Kebangkitan Bangsa,2,129943,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Keadilan Sejahtera,3,147875,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Demokrasi Indonesia Perjuangan,4,570531,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Golongan Karya,5,200474,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Gerakan Indonesia Raya,6,244144,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Demokrat,7,146688,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Amanat Nasional,8,355787,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Persatuan Pembangunan,9,94435,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Hati Nurani Rakyat,10,42782,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Bulan Bintang,14,14162,Province name,,
2014,DI. Yogyakarta,1,DPR,2723621,2059453,159,Partai Keadilan dan Persatuan Indonesia,15,5199,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,"",,,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Nasional Demokrat,1,43097,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Kebangkitan Bangsa,2,75423,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Keadilan Sejahtera,3,138029,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Demokrasi Indonesia Perjuangan,4,301010,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Golongan Karya,5,116472,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Gerakan Indonesia Raya,6,158604,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Demokrat,7,115382,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Amanat Nasional,8,86236,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Persatuan Pembangunan,9,171269,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Hati Nurani Rakyat,10,68217,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Bulan Bintang,14,15733,Province name,,
2014,DKI Jakarta,1,DPR,1914790,1298430,88,Partai Keadilan dan Persatuan Indonesia,15,8958,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,"",,,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Nasional Demokrat,1,69286,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Kebangkitan Bangsa,2,108440,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Keadilan Sejahtera,3,261477,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Demokrasi Indonesia Perjuangan,4,493938,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Golongan Karya,5,174908,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Gerakan Indonesia Raya,6,250800,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Demokrat,7,144339,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Amanat Nasional,8,63158,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Persatuan Pembangunan,9,153147,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Hati Nurani Rakyat,10,101191,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Bulan Bintang,14,19005,Province name,,
2014,DKI Jakarta,2,DPR,1914790,1232887,88,Partai Keadilan dan Persatuan Indonesia,15,10444,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,"",,,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Nasional Demokrat,1,119147,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Kebangkitan Bangsa,2,55318,Province name,,
2014,DKI Jakarta,3,DPR,2769005,1742471,142,Partai Keadilan Sejahtera,3,138399,Province name,,
